session_id,overall_score
37,16.333333333333332
40,9.666666666666666
41,16.333333333333332
44,13.333333333333334
45,17.0
46,7.666666666666667
47,8.0
51,21.666666666666668
52,20.333333333333332
53,16.666666666666668
57,19.333333333333332
58,21.333333333333332
60,15.333333333333334
61,21.666666666666668
64,6.666666666666667
65,3.3333333333333335
66,6.0
72,9.666666666666666
74,23.0
79,17.666666666666668
81,16.666666666666668
83,19.333333333333332
91,20.666666666666668
94,16.666666666666668
95,14.666666666666666
96,15.666666666666666
97,7.333333333333333
98,3.3333333333333335
100,2.0
123,23.333333333333332
127,20.0
128,11.0
130,17.333333333333332
131,3.6666666666666665
134,17.333333333333332
138,15.333333333333334
142,23.333333333333332
143,24.0
144,23.333333333333332
147,23.666666666666668
148,20.333333333333332
151,15.333333333333334
156,26.333333333333332
157,21.666666666666668
162,24.0
167,20.333333333333332
169,21.333333333333332
170,21.333333333333332
171,19.333333333333332
173,18.0
176,22.0
177,20.333333333333332
178,19.0
180,17.333333333333332
181,6.666666666666667
182,9.333333333333334
183,6.0
185,19.333333333333332
188,20.666666666666668
195,12.666666666666666
196,2.6666666666666665
199,4.666666666666667
202,17.666666666666668
206,18.666666666666668
211,11.0
212,21.666666666666668
213,18.333333333333332
216,21.333333333333332
217,4.333333333333333
218,9.0
221,16.666666666666668
222,16.0
224,18.0
226,20.666666666666668
227,18.666666666666668
228,19.0
229,17.666666666666668
235,18.0
237,16.333333333333332
244,18.0
245,19.333333333333332
246,22.333333333333332
251,5.0
253,7.666666666666667
254,17.666666666666668
256,18.0
260,19.0
267,21.333333333333332
276,21.333333333333332
278,22.333333333333332
280,22.333333333333332
281,16.333333333333332
285,19.0
286,17.666666666666668
292,16.0
293,15.333333333333334
294,18.0
295,19.666666666666668
296,13.666666666666666
297,22.0
299,17.333333333333332
301,23.333333333333332
302,15.0
306,12.333333333333334
307,22.333333333333332
308,17.666666666666668
310,23.333333333333332
313,16.666666666666668
315,21.0
316,19.333333333333332
317,19.666666666666668
319,20.0
320,18.333333333333332
324,16.0
326,16.333333333333332
327,1.3333333333333333
331,4.666666666666667
333,18.333333333333332
335,15.666666666666666
338,18.333333333333332
340,7.0
342,7.666666666666667
343,18.666666666666668
349,7.333333333333333
351,6.333333333333333
353,19.666666666666668
354,20.333333333333332
355,21.666666666666668
358,14.333333333333334
359,18.333333333333332
362,20.0
363,20.0
367,23.0
369,18.0
371,23.333333333333332
383,15.333333333333334
385,21.666666666666668
387,18.0
388,17.666666666666668
389,20.0
391,14.333333333333334
394,15.0
396,20.333333333333332
397,20.333333333333332
398,17.666666666666668
399,18.333333333333332
400,17.666666666666668
401,19.333333333333332
402,17.0
406,13.666666666666666
411,19.666666666666668
413,17.0
415,18.0
416,18.0
417,18.333333333333332
420,16.666666666666668
424,21.0
425,17.333333333333332
427,19.333333333333332
428,19.666666666666668
429,18.333333333333332
430,20.0
432,19.666666666666668
433,18.666666666666668
434,19.0
436,17.333333333333332
439,18.666666666666668
442,19.0
444,17.333333333333332
446,19.333333333333332
