session_id,A1_math_expertise_concept_accuracy,A1_math_expertise_curriculum_hierarchy,A1_math_expertise_terminology_appropriateness,A1_math_expertise_problem_direction_specificity,A1_math_expertise_total,A2_question_structure_question_singularity,A2_question_structure_condition_completeness,A2_question_structure_sentence_logic,A2_question_structure_intent_clarity,A2_question_structure_total,A3_learning_context_current_stage_description,A3_learning_context_prior_learning_mention,A3_learning_context_difficulty_specification,A3_learning_context_learning_goal_presentation,A3_learning_context_total,B1_learner_customization_level_based_approach,B1_learner_customization_prior_knowledge_connection,B1_learner_customization_difficulty_adjustment,B1_learner_customization_personalized_feedback,B1_learner_customization_total,B2_explanation_systematicity_concept_hierarchy,B2_explanation_systematicity_stepwise_logic,B2_explanation_systematicity_key_emphasis,B2_explanation_systematicity_example_appropriateness,B2_explanation_systematicity_total,B3_learning_expandability_advanced_direction,B3_learning_expandability_application_connection,B3_learning_expandability_misconception_correction,B3_learning_expandability_self_directed_induction,B3_learning_expandability_total,C1_dialogue_coherence_goal_centered_consistency,C1_dialogue_coherence_context_reference,C1_dialogue_coherence_topic_continuity,C1_dialogue_coherence_previous_turn_connection,C1_dialogue_coherence_total,C2_learning_support_thinking_process_induction,C2_learning_support_understanding_check,C2_learning_support_metacognitive_promotion,C2_learning_support_deep_thinking_guidance,C2_learning_support_total,overall_score
37,1.0,0.0,1.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334
40,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333
41,1.0,0.0,1.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,3.3333333333333335,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,16.0
44,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.3333333333333335,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,13.0
45,1.0,0.0,1.0,0.6666666666666666,2.6666666666666665,1.0,0.3333333333333333,1.0,1.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.3333333333333335,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,3.3333333333333335,0.0,0.0,0.0,1.0,1.0,17.0
46,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,7.666666666666667
47,0.6666666666666666,0.0,1.0,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,8.0
51,1.0,0.0,1.0,1.0,3.0,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,2.3333333333333335,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.6666666666666666,2.6666666666666665,1.0,1.0,1.0,1.0,4.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,21.333333333333332
52,1.0,0.0,1.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,2.6666666666666665,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,1.0,1.0,3.3333333333333335,0.3333333333333333,0.0,0.0,1.0,1.3333333333333333,20.0
53,1.0,0.0,1.0,0.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3.3333333333333335,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,16.0
57,1.0,0.0,1.0,1.0,3.0,1.0,0.6666666666666666,0.6666666666666666,1.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,1.0,1.0,3.3333333333333335,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,19.333333333333332
